cwe_id	name	cve_count	avg_score	max_score
79	Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')	21832	6.09	10.0
89	Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')	9458	7.47	10.0
862	Missing Authorization	6434	5.85	10.0
352	Cross-Site Request Forgery (CSRF)	4749	5.69	10.0
74	Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')	4193	7.03	10.0
20	Improper Input Validation	3765	6.93	10.0
22	Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')	3726	7.15	10.0
78	Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')	3119	8.08	10.0
125	Out-of-bounds Read	3101	6.03	10.0
416	Use After Free	2959	7.52	10.0
200	Exposure of Sensitive Information to an Unauthorized Actor	2890	5.79	10.0
284	Improper Access Control	2846	6.55	10.0
94	Improper Control of Generation of Code ('Code Injection')	2812	6.79	10.0
121	Stack-based Buffer Overflow	2605	8.07	10.0
119	Improper Restriction of Operations within the Bounds of a Memory Buffer	2407	7.79	10.0
787	Out-of-bounds Write	2386	7.54	10.0
434	Unrestricted Upload of File with Dangerous Type	2188	7.92	10.0
122	Heap-based Buffer Overflow	2153	7.56	10.0
502	Deserialization of Untrusted Data	1963	8.29	10.0
918	Server-Side Request Forgery (SSRF)	1944	6.62	10.0
120	Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')	1818	7.73	10.0
863	Incorrect Authorization	1662	6.35	10.0
77	Improper Neutralization of Special Elements used in a Command ('Command Injection')	1618	7.47	10.0
400	Uncontrolled Resource Consumption	1475	6.50	10.0
639	Authorization Bypass Through User-Controlled Key	1465	6.44	10.0
287	Improper Authentication	1375	7.46	10.0
306	Missing Authentication for Critical Function	1344	8.05	10.0
98	Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')	1229	7.97	10.0
476	NULL Pointer Dereference	1214	5.93	10.0
285	Improper Authorization	1166	6.44	10.0
269	Improper Privilege Management	1088	7.54	10.0
770	Allocation of Resources Without Limits or Throttling	1088	6.61	10.0
190	Integer Overflow or Wraparound	947	7.13	10.0
266	Incorrect Privilege Assignment	916	6.93	10.0
601	URL Redirection to Untrusted Site ('Open Redirect')	779	5.47	9.8
427	Uncontrolled Search Path Element	694	7.25	10.0
532	Insertion of Sensitive Information into Log File	647	5.75	10.0
798	Use of Hard-coded Credentials	571	7.99	10.0
362	Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')	566	6.69	10.0
59	Improper Link Resolution Before File Access ('Link Following')	544	7.11	10.0
404	Improper Resource Shutdown or Release	534	5.46	8.7
276	Incorrect Default Permissions	509	6.83	10.0
288	Authentication Bypass Using an Alternate Path or Channel	507	8.25	10.0
295	Improper Certificate Validation	505	6.74	10.0
732	Incorrect Permission Assignment for Critical Resource	492	7.00	10.0
80	Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)	482	5.73	9.7
73	External Control of File Name or Path	456	7.23	10.0
126	Buffer Over-read	432	6.79	9.8
367	Time-of-check Time-of-use (TOCTOU) Race Condition	418	6.63	10.0
347	Improper Verification of Cryptographic Signature	415	7.23	10.0
611	Improper Restriction of XML External Entity Reference	404	6.78	10.0
23	Relative Path Traversal	398	6.93	10.0
522	Insufficiently Protected Credentials	390	6.71	10.0
319	Cleartext Transmission of Sensitive Information	358	6.62	10.0
843	Access of Resource Using Incompatible Type ('Type Confusion')	356	7.49	9.9
613	Insufficient Session Expiration	353	6.25	10.0
307	Improper Restriction of Excessive Authentication Attempts	345	6.92	9.8
201	Insertion of Sensitive Information Into Sent Data	331	6.11	10.0
497	Exposure of Sensitive System Information to an Unauthorized Control Sphere	328	5.74	10.0
754	Improper Check for Unusual or Exceptional Conditions	322	6.37	10.0
345	Insufficient Verification of Data Authenticity	321	6.88	10.0
290	Authentication Bypass by Spoofing	319	7.38	10.0
693	Protection Mechanism Failure	316	6.60	10.0
209	Generation of Error Message Containing Sensitive Information	314	5.33	10.0
428	Unquoted Search Path or Element	312	8.01	9.8
